type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-09-20 01:41:33,25.71903670,-100.37506162,6,585.000,,0.000,,11,18,20200919-204133,GPS Logger: 20200919-204133
T,2020-09-20 01:41:34,25.71903092,-100.37506281,6,586.000,,0.000,,11,19,,
T,2020-09-20 01:41:35,25.71904882,-100.37502233,6,585.000,,0.000,,11,19,,
T,2020-09-20 01:41:36,25.71906036,-100.37500641,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:37,25.71906714,-100.37499367,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:38,25.71907203,-100.37498517,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:39,25.71907260,-100.37498627,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:40,25.71907436,-100.37498475,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:41,25.71907409,-100.37498498,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:42,25.71906833,-100.37498312,5,586.000,,0.580,170,12,19,,
T,2020-09-20 01:41:43,25.71905854,-100.37497615,5,587.000,,1.120,170,12,19,,
T,2020-09-20 01:41:44,25.71904690,-100.37497287,5,587.000,,1.420,167,12,19,,
T,2020-09-20 01:41:45,25.71903322,-100.37496767,5,588.000,,1.440,167,12,19,,
T,2020-09-20 01:41:46,25.71902272,-100.37495722,5,589.000,,1.510,155,12,19,,
T,2020-09-20 01:41:47,25.71900928,-100.37495638,5,588.000,,1.510,155,12,18,,
T,2020-09-20 01:41:48,25.71899516,-100.37494767,5,588.000,,1.760,141,12,18,,
T,2020-09-20 01:41:49,25.71897863,-100.37493309,5,588.000,,2.200,136,11,18,,
T,2020-09-20 01:41:50,25.71897077,-100.37490942,5,588.000,,2.360,115,12,18,,
T,2020-09-20 01:41:51,25.71896234,-100.37488188,5,588.000,,2.690,105,12,18,,
T,2020-09-20 01:41:52,25.71895908,-100.37484829,5,588.000,,3.040,96,12,18,,
T,2020-09-20 01:41:53,25.71895786,-100.37481408,5,588.000,,3.420,92,12,18,,
T,2020-09-20 01:41:54,25.71895602,-100.37477285,5,589.000,,3.930,93,12,18,,
T,2020-09-20 01:41:55,25.71894791,-100.37473183,5,588.000,,4.230,97,12,18,,
T,2020-09-20 01:41:56,25.71893969,-100.37468967,5,588.000,,4.240,103,12,18,,
T,2020-09-20 01:41:57,25.71891932,-100.37465887,5,588.000,,3.920,126,11,18,,
T,2020-09-20 01:41:58,25.71888656,-100.37464161,5,588.000,,3.690,149,11,18,,
T,2020-09-20 01:41:59,25.71884698,-100.37463735,5,589.000,,4.210,168,12,18,,
T,2020-09-20 01:42:00,25.71880093,-100.37463357,5,589.000,,4.680,172,12,18,,
T,2020-09-20 01:42:01,25.71875436,-100.37462733,5,589.000,,5.130,174,12,18,,
T,2020-09-20 01:42:02,25.71870732,-100.37462151,5,589.000,,5.440,175,12,18,,
T,2020-09-20 01:42:03,25.71865619,-100.37462085,5,588.000,,5.480,176,12,18,,
T,2020-09-20 01:42:04,25.71860745,-100.37461971,5,588.000,,5.390,176,12,18,,
T,2020-09-20 01:42:05,25.71855591,-100.37461792,5,588.000,,5.360,176,13,18,,
T,2020-09-20 01:42:06,25.71850712,-100.37460809,5,588.000,,5.360,169,13,18,,
T,2020-09-20 01:42:07,25.71846656,-100.37460733,5,587.000,,4.740,175,13,18,,
T,2020-09-20 01:42:08,25.71842187,-100.37460172,5,587.000,,5.010,174,13,18,,
T,2020-09-20 01:42:09,25.71836657,-100.37459345,5,588.000,,5.880,173,13,18,,
T,2020-09-20 01:42:10,25.71830615,-100.37458450,5,588.000,,6.630,172,13,18,,
T,2020-09-20 01:42:11,25.71824070,-100.37457595,5,588.000,,7.250,173,13,18,,
T,2020-09-20 01:42:12,25.71817304,-100.37456487,5,589.000,,7.690,174,10,18,,
T,2020-09-20 01:42:13,25.71810186,-100.37455598,5,589.000,,8.070,174,10,18,,
T,2020-09-20 01:42:14,25.71802646,-100.37454470,5,589.000,,8.450,174,10,18,,
T,2020-09-20 01:42:15,25.71794794,-100.37453529,5,590.000,,8.780,173,10,18,,
T,2020-09-20 01:42:16,25.71786657,-100.37452647,5,590.000,,9.190,174,11,18,,
T,2020-09-20 01:42:17,25.71778094,-100.37451868,5,590.000,,9.390,175,12,18,,
T,2020-09-20 01:42:18,25.71769380,-100.37450761,5,590.000,,9.630,174,12,18,,
T,2020-09-20 01:42:19,25.71760737,-100.37449390,5,590.000,,9.550,174,12,18,,
T,2020-09-20 01:42:20,25.71752549,-100.37448702,5,591.000,,9.140,175,12,18,,
T,2020-09-20 01:42:21,25.71744570,-100.37448261,5,591.000,,8.720,178,12,18,,
T,2020-09-20 01:42:22,25.71737618,-100.37447919,5,591.000,,7.730,178,12,18,,
T,2020-09-20 01:42:23,25.71731482,-100.37447986,5,591.000,,6.510,179,11,18,,
T,2020-09-20 01:42:24,25.71726338,-100.37448376,5,590.000,,5.210,179,11,18,,
T,2020-09-20 01:42:25,25.71722490,-100.37448246,5,590.000,,4.220,176,11,18,,
T,2020-09-20 01:42:26,25.71719351,-100.37447809,5,589.000,,3.810,174,12,18,,
